,timestamps,txshashes,donors,donates,memos,share,distribution,evangelist,evangelist_address,cashback
0,2020-03-30 17:29:32+00:00,33EE1A45BAF68372597216F1DC49880B99339564FCE11A6EF481F38523FA2506,cosmos1t575qeee3qgshuf964qal057z77vljqe2klvx3,100000,,6.62760373374089e-06,662760373,,,10000
1,2020-04-20 11:43:45+00:00,02CFF6E8B4D5F053326C90ADE8D7FF4010F57965D47AE1400F3694C41C1E6731,cosmos1uz39kh64w8p5df034fh6g5hwpdq8m0h5q4q5f7,50000,,3.313801866870445e-06,331380187,,,5000
2,2020-04-22 17:51:40+00:00,A024C4DE3FAF7EEA4843FB2ACF72273FAF64A5EB9A0415E70273629A3C16A793,cosmos1qn8sr2hzmktlecusdtxj9hwj0upnm0jfgkyqry,100000000,dimakorzhovnik,0.00662760373374089,662760373374,dimakorzhovnik,cosmos1gw5kdey7fs9wdh05w66s0h4s24tjdvtcxlwll7,10000000
3,2020-04-25 14:48:16+00:00,1100F77E10159C9888016B4EAAFD0C086F2685CD6873F06765A3C19FDAA97CD9,cosmos1kajt7sxfpnfujm7ptj90654lmwz4sftpmk0jm6,1000000,thanks to xhipster,6.62760373374089e-05,6627603734,xhipster,cosmos1qn8sr2hzmktlecusdtxj9hwj0upnm0jfgkyqry,100000
4,2020-04-27 18:50:36+00:00,723F0188AE6BA59FC7E93238D6EA4C01EC4775A1D7DE824DDFE7D53620CBB085,cosmos1cg79pj70mgl8xlum0rw5yy6enk9jszsrpl6hw5,100000000,thanks to mrlp4,0.00662760373374089,662760373374,mrlp4,cosmos1cg79pj70mgl8xlum0rw5yy6enk9jszsrpl6hw5,10000000
5,2020-04-27 18:51:04+00:00,5EADE7BA8F00A418EEBB13CD0FCCBBFED3722F901AA9019A31F24D9F44F65E46,cosmos1d5lu67hu3lhqtw6zyv7uy4gkfpdtfnzxw0wga8,100000000,"cyber.page, using Ledger",0.00662760373374089,662760373374,,,10000000
6,2020-04-27 18:52:29+00:00,7C53B3366837616560D10C6180F5BCAC3C7A42D014939ADE1DFB49286DCB0102,cosmos14nzyt8wmx4g6zkeluelukamgsh5v4xgnmeq9y4,100000000,"cyber.page, using Ledger",0.00662760373374089,662760373374,,,10000000
7,2020-04-27 18:52:29+00:00,8850623733EE2DC9CEC5FD17F373642604E5329A67F46B6B10A5268A566733E0,cosmos1d5lu67hu3lhqtw6zyv7uy4gkfpdtfnzxw0wga8,60000000,"cyber.page, using Ledger",0.003976562240244534,397656224024,,,6000000
8,2020-04-27 18:53:20+00:00,76FA3339C73BABB276472BBA5369569AF4A18041B827A6CB5D40AE7C9CEA21D7,cosmos1cg79pj70mgl8xlum0rw5yy6enk9jszsrpl6hw5,50000000,thanks to mrlp4,0.003313801866870445,331380186687,mrlp4,cosmos1cg79pj70mgl8xlum0rw5yy6enk9jszsrpl6hw5,5000000
9,2020-04-27 18:55:48+00:00,1D16F3DD30FE541E009A062EE0BE4BDDC9F3FA5A7DE068E0875FE74F02174F08,cosmos1qn8sr2hzmktlecusdtxj9hwj0upnm0jfgkyqry,1000000000,thanks to xhipster,0.0662760373374089,6627603733741,xhipster,cosmos1qn8sr2hzmktlecusdtxj9hwj0upnm0jfgkyqry,100000000
10,2020-04-27 19:00:58+00:00,47799AFBA732BACCA3C69D4F41B7FD5F25ECE734FAB84BE46A7BCE13C953E66F,cosmos17z2fywzrdld7qmwzpsq0atxfwcns8rp8jzhmcr,101000000,thanks to litvintech,0.006693879771078299,669387977108,litvintech,cosmos12u6qgyrdsy4xmw04vfkkkh9a9tqzw66ghkr0nv,10100000
11,2020-04-27 19:28:08+00:00,B946B2CAE3154B9CEDB7276C203DC4C21BB188D849DA8DD9B391B6B44D196F8B,cosmos1wnpak7sfawsfv9c8vqe7naxfa4g99lv7a72t39,1000000,thanks to serejandmyself,6.62760373374089e-05,6627603734,serejandmyself,cosmos1rhlsrmu8qphuw9qcgulcyx9r3v2p7tm70w3yq5,100000
12,2020-04-27 19:45:16+00:00,B7A2567EA382D5768B9909F8AB37E11B8F74D849251E7AE4C98E90F54EA0C3A5,cosmos1wnpak7sfawsfv9c8vqe7naxfa4g99lv7a72t39,100000,,6.62760373374089e-06,662760373,,,10000
13,2020-04-27 19:49:45+00:00,6D4858E2F6D1B89DCF73C2447AF2D825ADC83F10DCDA67D26825B05C1CD44E4C,cosmos1wnpak7sfawsfv9c8vqe7naxfa4g99lv7a72t39,1000000,,6.62760373374089e-05,6627603734,,,100000
14,2020-04-27 19:52:00+00:00,BEAB22EA2350008FF242E398AEBAF9E079981C427F6A13698D637A745714B2F6,cosmos1wnpak7sfawsfv9c8vqe7naxfa4g99lv7a72t39,1000000,serejandmyself,6.62760373374089e-05,6627603734,serejandmyself,cosmos1rhlsrmu8qphuw9qcgulcyx9r3v2p7tm70w3yq5,100000
15,2020-04-27 19:54:19+00:00,6E3C9581510B168185AAABB74E05B15FB08A60C84D76FD714AC2B91885F84C73,cosmos1kajt7sxfpnfujm7ptj90654lmwz4sftpmk0jm6,500000,dimakorzhovnik,3.313801866870445e-05,3313801867,dimakorzhovnik,cosmos1gw5kdey7fs9wdh05w66s0h4s24tjdvtcxlwll7,50000
16,2020-04-27 20:22:21+00:00,24807140474C34C1E33EA8B5A5FFB8B27612FB7F64EA16156946763121E46345,cosmos1wnpak7sfawsfv9c8vqe7naxfa4g99lv7a72t39,500000000,thanks to serejandmyself,0.03313801866870445,3313801866870,serejandmyself,cosmos1rhlsrmu8qphuw9qcgulcyx9r3v2p7tm70w3yq5,50000000
17,2020-04-27 20:58:41+00:00,4314A6934E76746C7F09A13851283DAE85D1D4CD989A219ED823FE800F71C29D,cosmos1s2a7rckcky6jmhncxwy0xtwf2ymg87pu4fxju9,10000000,"cyber.page, using Ledger",0.000662760373374089,66276037337,,,1000000
18,2020-04-27 22:50:50+00:00,BB21C025265B691E34015D20E0E163BC8C29CE792E38099A14483C935F232DFD,cosmos1kajt7sxfpnfujm7ptj90654lmwz4sftpmk0jm6,300000,,1.988281120122267e-05,1988281120,,,30000
19,2020-04-28 12:01:08+00:00,FD2CCFD8DA2BEBE745B2CD32B826CB0D9891388F15DF03740A1EF37A38C38CEB,cosmos14nzyt8wmx4g6zkeluelukamgsh5v4xgnmeq9y4,3950000,thanks to savetheales,0.00026179034748276514,26179034748,savetheales,cosmos14nzyt8wmx4g6zkeluelukamgsh5v4xgnmeq9y4,395000
20,2020-04-28 14:54:28+00:00,62A9933F0172C25CE65F87376C7748A7E58A3C006E613DE2DF2238437E3F3980,cosmos1smqr5tp684g07aekcn0w852wqlme5mn6wgyq6k,51000000,,0.003380077904207854,338007790421,,,5100000
21,2020-04-30 15:18:08+00:00,3E47AF8A270CAF6E9F0ACBF35AE152479BDCC89E15BF0964A668F91DC813633D,cosmos1htq7u8gy9muv4fk6st04524tdzy8rv04henm6h,1000000,,6.62760373374089e-05,6627603734,,,100000
22,2020-05-04 09:59:23+00:00,80BBF3A52D41D825EBC3341DF95D5CFA134DCABB00B3D1AA7F525A636B5AB692,cosmos1qn8sr2hzmktlecusdtxj9hwj0upnm0jfgkyqry,1000000,thanks to xhipster,6.62760373374089e-05,6627603734,xhipster,cosmos1qn8sr2hzmktlecusdtxj9hwj0upnm0jfgkyqry,100000
23,2020-05-05 08:31:28+00:00,99FF1544D7E7E8B6DF7F57775B1DE048D5D05864FA44D83B122711E5EAAD12B1,cosmos14nzyt8wmx4g6zkeluelukamgsh5v4xgnmeq9y4,7000000,thanks to savetheales,0.0004639322613618623,46393226136,savetheales,cosmos14nzyt8wmx4g6zkeluelukamgsh5v4xgnmeq9y4,700000
24,2020-05-10 16:57:56+00:00,FA88405479867ADFE6FD396E5365E3931A3233C433A18A780F02870DD9CC98F3,cosmos1csf3up94qheqz88fvvlwjl7vc5sdymar4chllf,20000000,,0.001325520746748178,132552074675,,,2000000
25,2020-05-11 15:58:37+00:00,7CF62B9D75C4935AD7D9C132AB792188F323EDC7070A2F10095A834A711D35D2,cosmos1qn8sr2hzmktlecusdtxj9hwj0upnm0jfgkyqry,1000000000,thanks to xhipster,0.0662760373374089,6627603733741,xhipster,cosmos1qn8sr2hzmktlecusdtxj9hwj0upnm0jfgkyqry,100000000
26,2020-05-12 15:25:40+00:00,78F7E86FBA3C30C5F77F62D372A0B92C03AED9C6AE848098F2D1EF041B6F291E,cosmos1ffve0zx389ffl80ae9t8jmghcjuzdlqrh2fhh2,370000000,thanks to litvintech,0.024522133814841293,2452213381484,litvintech,cosmos12u6qgyrdsy4xmw04vfkkkh9a9tqzw66ghkr0nv,37000000
27,2020-05-13 19:58:41+00:00,CC95E43B6D846BB511DDC9A47745874F8FE78E5EDF3807AC66582B6075E7B80B,cosmos1gw5kdey7fs9wdh05w66s0h4s24tjdvtcxlwll7,500000,"cyber.page, using Ledger",3.313801866870445e-05,3313801867,,,50000
28,2020-05-14 13:55:35+00:00,09ABA8CAE7C4B459140918AD4D6C578732223A1031ACD845F0FBA07557045771,cosmos1gw5kdey7fs9wdh05w66s0h4s24tjdvtcxlwll7,500000,"cyber.page, using Ledger",3.313801866870445e-05,3313801867,,,50000
29,2020-05-14 22:18:20+00:00,59301125E5DF7DC8D0166E49D3AB4E84667C076D43AD131D37E53DA3ECD3B0CC,cosmos1fapqgamx3c8za8d3z56sydjtjygyu0lya87pe0,6100000,,0.0004042838277581943,40428382776,,,610000
30,2020-05-17 18:51:51+00:00,EA7DE0DED62AC0ED8A218BDC5300AC56B54ABEAFE46C9E1F30417ADAB147FF0E,cosmos1gw5kdey7fs9wdh05w66s0h4s24tjdvtcxlwll7,100000,"cyber.page, using Ledger",6.62760373374089e-06,662760373,,,10000
31,2020-05-18 14:20:53+00:00,A70A8467505C1990F455D3FB316E7DF1D9A397B9786C608117F16F33C8A68103,cosmos1eqkdzfcjnu20ywju35rf3nutxzjxjaqn9nah69,50000,,3.313801866870445e-06,331380187,,,5000
32,2020-05-18 16:53:41+00:00,6FAED0A7C5E07BE40BB9B018E43DF7ACAF690067487FC444593EB30DFEB00A4C,cosmos1qn8sr2hzmktlecusdtxj9hwj0upnm0jfgkyqry,1000000,"cyber.page, using Ledger",6.62760373374089e-05,6627603734,,,100000
33,2020-05-19 10:03:12+00:00,FE7414876CB47B678E8DAE37E43D5C6A64FAED3422CCAAA4BD3893C9CD9851C1,cosmos1eqkdzfcjnu20ywju35rf3nutxzjxjaqn9nah69,50000000,,0.003313801866870445,331380186687,,,5000000
34,2020-05-20 11:22:29+00:00,0563AD7072EC60010FA943BE5B011055CDDCC99F3781F5D6A489B1AB076491F2,cosmos1qn8sr2hzmktlecusdtxj9hwj0upnm0jfgkyqry,10000000,"cyber.page, using Ledger",0.000662760373374089,66276037337,,,1000000
35,2020-05-20 11:24:21+00:00,5CBA3A68D21C2A977EACAC41772A13660F4A2315744136E1EC335FB2BD4B5FB4,cosmos1qn8sr2hzmktlecusdtxj9hwj0upnm0jfgkyqry,10000000,"cyber.page, using Ledger",0.000662760373374089,66276037337,,,1000000
36,2020-05-21 17:24:51+00:00,ECE45181AFF2C1BF6764BECCB762E4091D58E345E84FF1384EA4B5CFDFC71BA9,cosmos1ffve0zx389ffl80ae9t8jmghcjuzdlqrh2fhh2,50000000,thanks to litvintech,0.003313801866870445,331380186687,litvintech,cosmos12u6qgyrdsy4xmw04vfkkkh9a9tqzw66ghkr0nv,5000000
37,2020-05-21 19:33:38+00:00,2F7873E1693694EAC88DA72C89CBFE53463FB0792837BBB079F56368BF9C1A7C,cosmos1fapqgamx3c8za8d3z56sydjtjygyu0lya87pe0,37000000,,0.0024522133814841294,245221338148,,,3700000
38,2020-05-22 14:31:41+00:00,D6FB35D0CEB138567689962EF255F8F0C4A6710F52EA51DF5D614673BE9481E7,cosmos1gw5kdey7fs9wdh05w66s0h4s24tjdvtcxlwll7,500000,"cyber.page, using Ledger",3.313801866870445e-05,3313801867,,,50000
39,2020-05-22 19:06:44+00:00,078B67AFC33227A9E89C3C5D9749B04A7A13EBA58A1ED8C171517639C0F23662,cosmos1tr3eyy9l480pxjk0ygudwpfus7j8pgdl3qmkvu,20000000,thanks to litvintech,0.001325520746748178,132552074675,litvintech,cosmos12u6qgyrdsy4xmw04vfkkkh9a9tqzw66ghkr0nv,2000000
40,2020-05-24 11:05:36+00:00,ED8DD6C309CC8260BEF2D3D0B849B4193D76DC85AEBD318DBB372B08B53738BE,cosmos1mdq5r6az6z8su68zj6px88j2ukr78ea4tmz34a,272000000,,0.018027082155775222,1802708215578,,,27200000
41,2020-05-25 11:24:25+00:00,2689274E0C164D97927322CC562B01E108D9074B1EB9978FBD8A40736BEECBCA,cosmos18ghjkwygsvjcsh20tc5zzhfttxxuex7axv55lh,1000000,thanks to fftod,6.62760373374089e-05,6627603734,fftod,cosmos1s2a7rckcky6jmhncxwy0xtwf2ymg87pu4fxju9,100000
42,2020-05-25 11:30:19+00:00,E317E565E7731C699993B41FDAAAB20E17426EE76FD0D47E3074FE952916C361,cosmos18ghjkwygsvjcsh20tc5zzhfttxxuex7axv55lh,10000000,thanks to fftod,0.000662760373374089,66276037337,fftod,cosmos1s2a7rckcky6jmhncxwy0xtwf2ymg87pu4fxju9,1000000
43,2020-05-25 16:10:13+00:00,598792900A048AD302F0BA39B7F2A244535A15B60CCA47ACE1759FE19353BC08,cosmos1gw5kdey7fs9wdh05w66s0h4s24tjdvtcxlwll7,100000,"cyber.page, using Ledger",6.62760373374089e-06,662760373,,,10000
44,2020-05-25 16:28:29+00:00,9CAE1274C68528F88FF225968F2A2359879BEAEE2150B236E768E461889F19F6,cosmos1gw5kdey7fs9wdh05w66s0h4s24tjdvtcxlwll7,100000,"cyber.page, using Ledger",6.62760373374089e-06,662760373,,,10000
45,2020-05-25 17:23:21+00:00,5885542321A4DD0CA6C9A6A2A39999CA5D88D9AF0A8CF80DE5C4D2B7356F347F,cosmos1qn8sr2hzmktlecusdtxj9hwj0upnm0jfgkyqry,1000000,"cyber.page, using Ledger",6.62760373374089e-05,6627603734,,,100000
46,2020-05-26 13:07:15+00:00,55AFCFFC52603A0A7D3384AC8ED5ED2C1088F7229C27BFFB79B716FF4FD14C0E,cosmos16ahkkv0jzhtp73z83qlhqrypss6jpjm862zjst,20000000,,0.001325520746748178,132552074675,,,2000000
47,2020-05-27 10:38:01+00:00,7E3C5B30587576E9A91B9FBD73AC59980F823E53150B21CF70993426D054719A,cosmos1gw5kdey7fs9wdh05w66s0h4s24tjdvtcxlwll7,100000,"cyber.page, using Ledger",6.62760373374089e-06,662760373,,,10000
48,2020-05-27 11:47:59+00:00,26A6AE0E2A419294E7921D9EB448B0769E2008F120CDEA9C8431D296A0356CB7,cosmos1kk79xcsuah7ckvunku78094gyh7900eh4vt9zy,100000,show me the future!,6.62760373374089e-06,662760373,,,10000
49,2020-05-27 17:18:22+00:00,1EFF45AC04817F2DBAF2B294CE8901B56B5F365B8F2C559361E0481DE201EE8B,cosmos1kk79xcsuah7ckvunku78094gyh7900eh4vt9zy,100000,I'll keep donating as I learn more,6.62760373374089e-06,662760373,,,10000
50,2020-05-28 18:40:59+00:00,9DC0FF90BAD31A6F2FB464EBB604B650CDBFC608FF3518109A8D2861870095AC,cosmos1gw5kdey7fs9wdh05w66s0h4s24tjdvtcxlwll7,100000,,6.62760373374089e-06,662760373,,,10000
51,2020-05-29 09:58:58+00:00,074879C6916713DB8616D7D57F0D17F01118E3FE5991AE7CCAF75DF225CD7B1D,cosmos1cg79pj70mgl8xlum0rw5yy6enk9jszsrpl6hw5,150000000,thanks to mrlp4,0.009941405600611335,994140560061,mrlp4,cosmos1cg79pj70mgl8xlum0rw5yy6enk9jszsrpl6hw5,15000000
52,2020-05-29 20:26:28+00:00,EBC0BBE9379ADE429611CCF38A2649649C7213B997CB82B1637A5C6DC683461D,cosmos13dpy00jest96g7h5vdgvg9zpxq6xnclhhyka2c,300000000,thanks to litvintech,0.01988281120122267,1988281120122,litvintech,cosmos12u6qgyrdsy4xmw04vfkkkh9a9tqzw66ghkr0nv,30000000
53,2020-05-30 00:56:24+00:00,4B1BF72EBFFA1FEC0440373CCDAD776413CF4DF4B99DC291D44E0DE8F8F9D7F0,cosmos1s3lgc3mgy4ltwr796qk6j73xmau4njuewrmgkm,1600000000,thanks to litvintech,0.10604165973985424,10604165973985,litvintech,cosmos12u6qgyrdsy4xmw04vfkkkh9a9tqzw66ghkr0nv,160000000
54,2020-05-30 07:57:05+00:00,91591911540431110E6E05F147032C7356311221C1DC0E2E25AA5307264CF867,cosmos1qn8sr2hzmktlecusdtxj9hwj0upnm0jfgkyqry,1500000000,thanks to xhipster,0.09941405600611335,9941405600611,xhipster,cosmos1qn8sr2hzmktlecusdtxj9hwj0upnm0jfgkyqry,150000000
